mmsi,ts,time_bin,lat,lon,speed,course
412347102,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.880007,120.307052,2.5,254.3
412347363,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.888353,120.342832,3.8,208.2
412347498,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.837095,120.291525,2.5,253.5
412347509,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.318018,119.814733,3.7,89.4
412347541,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.343498,121.023037,7.2,120.8
412347556,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.10774,120.749432,8.5,322.5
412347566,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.311433,119.825267,6.3,253.5
412347627,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.853682,120.295462,2.9,202.2
412347678,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.315048,121.129052,1.0,193.4
412347686,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.814793,120.301435,2.6,228.0
412347894,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.076083,120.483763,2.9,283.5
412347973,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.069293,120.230473,0.8,289.7
412348748,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.964707,120.753325,3.2,49.2
412348755,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.049102,120.83648,3.1,69.4
412349328,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.311438,119.769192,0.6,265.4
412349368,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.042068,120.778988,2.8,74.7
412349379,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.039118,120.813045,2.8,73.8
412349427,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.966033,120.739773,3.0,54.2
412349473,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.04348,120.821337,3.0,75.2
412349478,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.957732,121.482157,2.0,284.0
412349507,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.976253,120.736135,3.2,69.4
412349508,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.974637,120.737517,3.3,75.3
412349537,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.05379,120.787922,3.4,58.4
412349554,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.62078,120.105912,3.1,82.3
412349771,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.289167,119.871588,4.1,70.5
412349984,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.0353,120.3854,7.7,349.7
412351330,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.945835,120.19953,0.1,304.0
412355871,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.304683,119.831563,3.3,86.1
412388888,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.302372,119.811692,3.7,97.5
412438658,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.602342,121.231302,0.1,206.3
412440835,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,36.853333,122.47562,0.0,360.0
